ID,Timestamp,Temperature (°C),Humidity (%),CO2 (ppm),NH3,H2S,CH4
16772,2025-04-03 17:18:39,85.62,54.71,397.0,5.924,1.84947,1.27409
16771,2025-04-03 17:18:32,85.65,54.71,397.0,5.90289,1.84398,1.25978
16770,2025-04-03 17:18:27,85.66,54.72,396.0,5.89963,1.84533,1.26507
16769,2025-04-03 17:18:21,85.74,54.64,396.0,5.9015,1.84345,1.25171
16768,2025-04-03 17:18:16,85.79,54.62,396.0,5.95955,1.84782,1.2617
16767,2025-04-03 17:18:10,85.87,54.67,396.0,5.91065,1.84641,1.25332
16766,2025-04-03 17:18:05,85.79,54.73,395.0,5.87439,1.84926,1.24063
16765,2025-04-03 17:17:58,85.76,54.75,393.0,5.87368,1.84401,1.2502
16764,2025-04-03 17:17:54,85.63,54.76,393.0,5.88774,1.84232,1.24992
16763,2025-04-03 17:17:47,85.63,54.77,393.0,5.85695,1.84051,1.24086
16762,2025-04-03 17:17:43,85.68,54.83,393.0,5.81857,1.83255,1.22673
16761,2025-04-03 17:17:36,85.66,54.83,393.0,5.83575,1.83881,1.22598
16760,2025-04-03 17:17:31,85.64,54.84,395.0,5.8705,1.83942,1.22488
16759,2025-04-03 17:17:25,85.6,54.85,396.0,5.86536,1.83724,1.23304
16758,2025-04-03 17:17:20,85.63,54.83,396.0,5.84753,1.83579,1.22646
16757,2025-04-03 17:17:14,85.63,54.88,394.0,5.81932,1.83381,1.21345
16756,2025-04-03 17:17:09,85.6,54.89,394.0,5.82668,1.83569,1.20124
16755,2025-04-03 17:17:02,85.49,54.99,393.0,5.91077,1.84456,1.22126
16754,2025-04-03 17:16:58,85.41,54.9,395.0,5.93339,1.84532,1.22199
16753,2025-04-03 17:16:51,85.48,54.93,394.0,5.88836,1.84157,1.20104
16752,2025-04-03 17:16:46,85.55,55.04,394.0,5.88657,1.84553,1.19341
16751,2025-04-03 17:16:40,85.46,55.09,393.0,5.91045,1.84931,1.22831
16750,2025-04-03 17:16:35,85.34,55.16,395.0,5.94685,1.85456,1.24711
16749,2025-04-03 17:16:29,85.24,55.2,394.0,5.94372,1.85605,1.2471
16748,2025-04-03 17:16:24,85.35,55.16,395.0,6.01427,1.86193,1.26429
16747,2025-04-03 17:16:17,85.41,55.1,395.0,5.9833,1.85959,1.26129
16746,2025-04-03 17:16:13,85.34,55.16,394.0,5.94169,1.85634,1.24626
16745,2025-04-03 17:16:06,85.31,55.15,393.0,5.96988,1.85678,1.24382
16744,2025-04-03 17:16:02,85.37,55.1,393.0,6.02628,1.85919,1.26159
16743,2025-04-03 17:15:55,85.31,55.13,392.0,6.02185,1.86298,1.25665
16742,2025-04-03 17:15:50,85.36,55.21,392.0,5.98915,1.86309,1.23929
16741,2025-04-03 17:15:44,85.35,55.22,392.0,6.07135,1.86306,1.26194
16740,2025-04-03 17:15:39,85.27,55.26,394.0,6.09348,1.86865,1.26485
16739,2025-04-03 17:15:33,85.25,55.22,394.0,6.08499,1.86679,1.26985
16738,2025-04-03 17:15:28,85.23,55.18,393.0,6.09152,1.86852,1.25366
16737,2025-04-03 17:15:21,85.32,55.11,394.0,6.072,1.866,1.25379
16736,2025-04-03 17:15:17,85.43,55.12,394.0,6.15231,1.87263,1.27988
16735,2025-04-03 17:15:10,85.53,55.05,396.0,6.07868,1.86853,1.24669
16734,2025-04-03 17:15:06,85.6,55.11,397.0,6.0476,1.86527,1.23997
16733,2025-04-03 17:14:59,85.61,55.12,396.0,6.13069,1.87369,1.2545
16732,2025-04-03 17:14:54,85.7,55.0,394.0,6.16542,1.87509,1.25199
16731,2025-04-03 17:14:48,85.84,55.03,396.0,6.22025,1.88424,1.2848
16730,2025-04-03 17:14:43,85.77,55.06,396.0,6.18246,1.8761,1.25212
16729,2025-04-03 17:14:37,85.71,55.08,396.0,6.2229,1.88004,1.25741
16728,2025-04-03 17:14:32,85.76,55.03,397.0,6.23054,1.87932,1.26369
16727,2025-04-03 17:14:25,85.98,54.93,396.0,6.27707,1.88419,1.26749
16726,2025-04-03 17:14:21,86.01,54.98,396.0,6.21858,1.88075,1.24722
16725,2025-04-03 17:14:14,85.91,55.04,396.0,6.20921,1.87712,1.253
16724,2025-04-03 17:14:10,85.89,55.05,396.0,6.20544,1.87325,1.2616
16723,2025-04-03 17:14:03,85.84,55.11,399.0,6.26681,1.879,1.25756
16722,2025-04-03 17:13:58,85.79,55.15,400.0,6.22217,1.87563,1.2581
16721,2025-04-03 17:13:52,85.77,55.21,400.0,6.28417,1.88136,1.26657
16720,2025-04-03 17:13:47,85.65,55.2,399.0,6.31832,1.8819,1.27262
